['516', '909', '387', '770', '210', '792', '675', '561', '856', '789', '58', '485', '832', '189', '219', '530', '677', '293', '161', '248', '214', '565', '954', '794', '378']
['738', '651', '602', '401', '477', '232', '623', '467', '488', '522', '711', '984', '273', '113', '541', '858', '392', '547', '146', '701', '104', '620', '197', '132', '72']
['24', '151', '841', '725', '707', '188', '453', '109', '697', '894', '656', '875', '8', '196', '57', '207', '74', '21', '670', '898', '478', '724', '344', '545', '534']
['461', '421', '192', '23', '666', '84', '720', '259', '270', '78', '223', '715', '243', '836', '587', '25', '495', '958', '396', '432', '462', '103', '500', '772', '6']
['398', '892', '413', '481', '263', '102', '721', '216', '921', '762', '334', '719', '242', '571', '595', '304', '316', '154', '130', '726', '321', '407', '402', '79', '12']
['92', '955', '476', '408', '73', '747', '786', '220', '224', '186', '292', '905', '395', '33', '528', '291', '237', '369', '486', '145', '828', '288', '574', '654', '297']
['553', '918', '285', '389', '806', '443', '823', '187', '289', '159', '294', '813', '529', '518', '733', '65', '840', '906', '659', '377', '330', '882', '37', '796', '147']
['929', '356', '107', '139', '758', '949', '169', '512', '799', '95', '354', '269', '987', '252', '730', '702', '91', '469', '531', '695', '780', '77', '87', '511', '182']
['338', '492', '16', '71', '375', '990', '268', '319', '753', '910', '912', '712', '776', '756', '265', '475', '279', '457', '449', '591', '610', '558', '479', '979', '557']
['433', '900', '760', '923', '971', '854', '897', '951', '782', '100', '860', '655', '351', '134', '774', '225', '980', '98', '802', '699', '709', '768', '767', '605', '982']
['864', '283', '759', '117', '827', '128', '691', '568', '816', '598', '212', '784', '419', '22', '447', '76', '811', '773', '617', '300', '540', '384', '606', '581', '734']
['416', '532', '336', '983', '510', '846', '183', '86', '880', '466', '438', '215', '537', '625', '156', '967', '295', '85', '46', '42', '661', '688', '895', '404', '681']
['887', '919', '233', '329', '498', '526', '245', '66', '299', '133', '523', '17', '28', '359', '834', '400', '320', '27', '853', '907', '350', '360', '649', '997', '175']
['357', '30', '247', '700', '754', '973', '473', '374', '936', '945', '855', '628', '706', '838', '176', '781', '502', '80', '928', '222', '946', '249', '310', '705', '93']
['886', '239', '441', '89', '771', '325', '965', '181', '985', '211', '648', '680', '669', '867', '696', '276', '809', '852', '261', '364', '552', '311', '353', '554', '851']
['227', '633', '180', '193', '689', '327', '3', '51', '888', '735', '417', '418', '236', '111', '390', '464', '13', '257', '471', '788', '203', '986', '131', '491', '445']
['414', '264', '584', '298', '281', '393', '577', '179', '817', '643', '604', '821', '763', '136', '535', '757', '272', '622', '35', '303', '258', '326', '550', '822', '426']
['482', '234', '844', '962', '538', '804', '190', '306', '869', '761', '140', '135', '775', '5', '556', '280', '380', '221', '812', '783', '624', '902', '451', '572', '966']
['385', '308', '173', '641', '99', '959', '686', '410', '81', '611', '777', '953', '287', '454', '459', '307', '345', '732', '664', '513', '231', '335', '2', '201', '49']
['964', '729', '185', '989', '862', '629', '968', '638', '847', '114', '978', '797', '124', '9', '718', '15', '613', '48', '497', '115', '849', '305', '873', '713', '250']
['371', '570', '61', '110', '302', '871', '667', '254', '631', '18', '992', '105', '635', '428', '609', '703', '282', '43', '314', '925', '749', '947', '138', '896', '160']
['446', '728', '704', '376', '810', '149', '367', '932', '585', '653', '90', '939', '238', '200', '549', '562', '41', '198', '657', '53', '290', '878', '665', '525', '358']
['366', '555', '167', '60', '727', '808', '309', '845', '714', '842', '313', '580', '960', '450', '877', '567', '157', '791', '800', '722', '170', '148', '830', '119', '645']
['743', '508', '251', '742', '737', '825', '839', '483', '337', '361', '668', '652', '843', '94', '44', '644', '455', '687', '54', '916', '998', '627', '536', '746', '913']
['524', '331', '575', '365', '751', '120', '542', '646', '678', '172', '166', '539', '424', '241', '859', '122', '397', '942', '394', '566', '118', '679', '202', '948', '957']
['328', '493', '388', '674', '961', '383', '564', '431', '527', '848', '484', '881', '614', '908', '533', '226', '69', '698', '348', '317', '884', '950', '988', '922', '496']
['615', '560', '235', '937', '468', '891', '717', '34', '694', '165', '332', '573', '442', '32', '56', '795', '805', '4', '436', '672', '266', '807', '931', '636', '981']
['815', '650', '676', '582', '435', '626', '741', '660', '174', '588', '924', '164', '213', '890', '543', '663', '820', '195', '349', '20', '994', '578', '865', '952', '872']
['769', '940', '883', '45', '592', '766', '153', '343', '619', '600', '505', '472', '341', '935', '381', '835', '409', '818', '106', '509', '976', '470', '255', '764', '152']
['517', '11', '274', '340', '463', '382', '546', '267', '748', '70', '911', '903', '793', '312', '19', '647', '191', '127', '480', '423', '899', '437', '501', '286', '893']
['206', '708', '411', '448', '996', '460', '40', '379', '593', '229', '599', '29', '373', '874', '262', '723', '150', '439', '544', '474', '885', '126', '62', '205', '26']
['50', '240', '430', '88', '977', '901', '141', '814', '355', '594', '36', '682', '819', '38', '634', '837', '745', '642', '217', '563', '861', '506', '64', '177', '144']
['879', '296', '415', '178', '926', '826', '333', '934', '171', '590', '59', '995', '52', '608', '391', '494', '339', '969', '765', '504', '956', '444', '168', '970', '870']
['684', '155', '752', '253', '607', '739', '362', '96', '943', '7', '465', '83', '503', '520', '63', '82', '868', '322', '618', '876', '452', '284', '850', '597', '933']
['831', '228', '866', '930', '342', '422', '904', '991', '857', '368', '576', '514', '914', '744', '246', '693', '260', '244', '199', '601', '372', '829', '324', '208', '803']
['779', '778', '658', '736', '640', '162', '889', '163', '938', '370', '515', '993', '278', '10', '230', '1', '941', '277', '209', '218', '787', '915', '403', '129', '579']
['347', '39', '204', '521', '621', '559', '271', '690', '490', '318', '927', '386', '507', '97', '116', '798', '863', '429', '740', '630', '137', '963', '68', '917', '639']
['673', '603', '975', '920', '55', '323', '548', '616', '425', '346', '123', '632', '999', '692', '801', '519', '662', '596', '315', '406', '427', '184', '47', '143', '790']
['399', '363', '583', '731', '31', '589', '142', '434', '158', '499', '489', '412', '785', '301', '972', '275', '755', '440', '112', '586', '569', '671', '108', '974', '75']
['637', '716', '750', '125', '944', '456', '551', '612', '420', '458', '710', '67', '683', '833', '352', '824', '256', '405', '685', '101', '121', '194', '0', '14', '487']
