['676', '646', '527', '545', '450', '262', '61', '14', '339', '213', '941', '723', '471', '995', '418', '573', '526', '618', '361', '68']
['348', '16', '7', '725', '947', '628', '541', '235', '227', '620', '984', '263', '149', '893', '815', '467', '271', '39', '256', '1']
['708', '62', '453', '651', '58', '99', '328', '761', '87', '185', '964', '750', '458', '246', '757', '643', '469', '25', '839', '663']
['754', '290', '905', '483', '261', '702', '47', '730', '326', '395', '104', '960', '616', '384', '249', '640', '134', '175', '80', '118']
['857', '924', '798', '52', '653', '479', '550', '114', '162', '517', '538', '858', '890', '967', '638', '284', '402', '460', '704', '965']
['143', '423', '529', '17', '389', '926', '446', '449', '429', '595', '113', '90', '833', '997', '803', '838', '574', '201', '817', '497']
['209', '780', '829', '589', '180', '745', '188', '176', '898', '697', '66', '729', '975', '969', '531', '853', '614', '31', '944', '805']
['690', '255', '444', '382', '677', '610', '588', '78', '718', '917', '700', '899', '49', '955', '987', '420', '799', '958', '778', '733']
['938', '258', '299', '996', '225', '96', '802', '569', '634', '533', '525', '11', '877', '410', '387', '783', '679', '781', '635', '202']
['540', '963', '76', '415', '397', '67', '268', '57', '689', '512', '97', '464', '759', '172', '777', '566', '896', '828', '29', '942']
['851', '416', '859', '524', '59', '882', '583', '313', '860', '82', '845', '602', '891', '247', '971', '452', '827', '701', '368', '831']
['273', '150', '207', '5', '186', '391', '144', '962', '487', '714', '64', '317', '226', '21', '577', '194', '612', '903', '728', '523']
['727', '597', '503', '103', '462', '927', '151', '303', '648', '321', '166', '30', '650', '489', '787', '26', '774', '413', '900', '982']
['70', '980', '696', '342', '549', '323', '357', '990', '427', '466', '140', '137', '158', '168', '161', '666', '474', '55', '329', '888']
['913', '198', '871', '755', '625', '645', '304', '784', '191', '359', '152', '606', '189', '229', '959', '766', '785', '243', '741', '507']
['633', '465', '881', '812', '266', '312', '109', '8', '335', '505', '746', '846', '693', '789', '631', '79', '289', '578', '373', '939']
['173', '837', '130', '386', '352', '385', '355', '807', '611', '302', '752', '624', '42', '940', '274', '351', '436', '739', '897', '811']
['949', '91', '868', '747', '347', '508', '301', '56', '841', '421', '277', '296', '74', '826', '85', '288', '796', '370', '613', '712']
['735', '691', '562', '117', '77', '974', '632', '163', '779', '772', '463', '330', '270', '884', '127', '667', '918', '75', '991', '760']
['840', '340', '852', '769', '743', '197', '307', '18', '48', '767', '354', '592', '998', '428', '873', '511', '214', '124', '642', '316']
['849', '116', '810', '153', '322', '95', '93', '591', '551', '563', '183', '54', '870', '737', '869', '603', '875', '744', '753', '765']
['272', '311', '495', '106', '362', '308', '499', '556', '260', '576', '678', '445', '36', '797', '738', '836', '293', '590', '627', '608']
['660', '770', '844', '146', '929', '216', '196', '795', '935', '119', '726', '252', '285', '46', '3', '376', '626', '237', '470', '156']
['392', '658', '674', '636', '731', '581', '12', '433', '13', '406', '872', '988', '283', '472', '639', '344', '53', '488', '310', '111']
['820', '276', '110', '546', '477', '732', '953', '709', '84', '762', '65', '125', '555', '212', '107', '596', '824', '911', '32', '801']
['349', '786', '148', '319', '232', '253', '457', '239', '521', '154', '615', '584', '912', '485', '568', '800', '763', '956', '567', '649']
['544', '356', '861', '366', '825', '751', '683', '2', '346', '740', '536', '360', '821', '267', '703', '685', '889', '128', '121', '363']
['430', '887', '236', '537', '945', '973', '694', '476', '854', '9', '742', '160', '819', '557', '519', '976', '593', '28', '848', '717']
['81', '934', '993', '713', '930', '668', '72', '142', '234', '954', '894', '171', '771', '520', '372', '933', '867', '190', '334', '790']
['394', '184', '580', '535', '621', '251', '409', '315', '560', '782', '145', '455', '136', '548', '27', '34', '230', '865', '879', '695']
['159', '343', '203', '403', '484', '981', '282', '822', '492', '604', '473', '297', '979', '422', '564', '478', '182', '138', '35', '501']
['86', '513', '426', '758', '135', '775', '129', '773', '579', '721', '558', '565', '806', '122', '205', '408', '481', '880', '539', '664']
['364', '864', '904', '951', '120', '572', '6', '599', '264', '443', '910', '248', '133', '491', '435', '672', '609', '925', '404', '60']
['378', '687', '957', '575', '241', '972', '622', '661', '380', '607', '432', '281', '94', '671', '502', '830', '33', '922', '245', '619']
['586', '350', '977', '139', '210', '515', '901', '932', '51', '414', '177', '662', '242', '388', '999', '494', '885', '200', '734', '73']
['399', '876', '112', '353', '126', '902', '670', '994', '850', '832', '132', '985', '585', '657', '295', '715', '946', '707', '412', '791']
['195', '808', '756', '652', '970', '269', '431', '456', '211', '699', '542', '834', '345', '92', '788', '4', '0', '468', '720', '438']
['131', '101', '336', '419', '231', '10', '862', '448', '937', '654', '396', '906', '543', '442', '675', '204', '983', '192', '250', '989']
