['496', '217', '924', '911', '432']
['396', '47', '249', '384', '100']
['779', '326', '537', '180', '120']
['297', '995', '171', '763', '732']
['601', '808', '439', '413', '465']
['692', '98', '794', '235', '145']
['187', '220', '703', '565', '444']
['319', '754', '593', '928', '659']
['853', '193', '881', '517', '11']
['878', '454', '32', '883', '819']
['611', '78', '573', '728', '186']
['947', '223', '739', '961', '51']
['785', '849', '651', '431', '702']
['876', '528', '503', '904', '861']
['269', '956', '654', '176', '530']
['3', '102', '959', '2', '398']
['792', '597', '141', '856', '482']
['657', '722', '255', '350', '693']
['354', '765', '287', '862', '954']
['907', '531', '271', '986', '311']
['55', '20', '897', '771', '815']
['931', '671', '335', '381', '971']
['677', '678', '280', '906', '720']
['306', '178', '4', '757', '397']
['852', '865', '689', '858', '14']
['45', '203', '165', '983', '963']
['370', '844', '341', '934', '673']
['142', '447', '752', '138', '619']
['894', '596', '54', '214', '22']
['939', '161', '346', '267', '851']
['441', '302', '139', '502', '421']
['796', '715', '824', '836', '407']
['475', '682', '833', '321', '981']
['588', '854', '41', '847', '8']
['721', '112', '227', '756', '12']
['974', '155', '238', '711', '653']
['330', '244', '233', '378', '480']
['970', '514', '373', '487', '85']
['879', '473', '377', '903', '978']
['199', '613', '289', '670', '908']
['577', '784', '571', '551', '809']
['810', '83', '937', '672', '985']
['944', '246', '790', '912', '356']
['935', '274', '948', '29', '79']
['942', '676', '548', '479', '620']
['458', '617', '179', '909', '857']
['642', '158', '840', '896', '37']
['450', '64', '635', '625', '260']
['623', '245', '964', '993', '408']
['589', '361', '114', '892', '848']
['705', '349', '48', '442', '156']
['211', '606', '310', '364', '489']
['910', '343', '344', '641', '250']
['74', '562', '534', '66', '751']
['219', '376', '905', '533', '646']
['86', '636', '499', '159', '181']
['338', '115', '697', '946', '648']
['814', '997', '284', '262', '776']
['18', '631', '457', '409', '535']
['891', '578', '569', '300', '363']
['638', '782', '82', '859', '880']
['329', '468', '494', '698', '481']
['281', '536', '137', '826', '718']
['902', '290', '521', '151', '555']
['242', '793', '734', '340', '368']
['795', '216', '898', '427', '422']
['208', '587', '128', '992', '379']
['445', '899', '25', '559', '873']
['987', '761', '661', '348', '486']
['800', '973', '564', '744', '375']
['334', '16', '210', '365', '50']
['19', '916', '59', '982', '35']
['75', '972', '430', '196', '390']
['470', '33', '866', '632', '772']
['355', '933', '438', '755', '658']
['292', '775', '315', '901', '215']
['730', '103', '15', '639', '538']
['556', '65', '495', '704', '510']
['113', '357', '943', '662', '949']
['6', '118', '147', '913', '474']
['887', '860', '630', '194', '273']
['660', '124', '380', '914', '358']
['650', '957', '221', '741', '545']
['767', '105', '283', '500', '96']
['554', '309', '69', '189', '314']
['224', '716', '679', '359', '694']
['136', '614', '332', '387', '966']
['655', '812', '726', '135', '758']
['770', '463', '225', '713', '618']
['788', '735', '664', '640', '484']
['175', '232', '586', '540', '328']
['684', '148', '188', '425', '542']
['846', '318', '668', '416', '122']
['886', '467', '403', '456', '23']
['333', '835', '462', '885', '561']
['622', '140', '723', '629', '511']
['633', '868', '789', '275', '736']
['801', '209', '841', '725', '719']
['43', '612', '92', '143', '546']
['967', '600', '602', '106', '675']
['798', '360', '666', '576', '498']
['121', '288', '579', '277', '525']
['91', '984', '236', '399', '317']
['477', '295', '191', '870', '989']
['488', '780', '777', '252', '265']
['369', '49', '845', '10', '701']
['256', '101', '822', '222', '700']
['529', '938', '410', '628', '637']
['688', '805', '520', '598', '708']
['337', '541', '88', '829', '119']
