['321', '65', '122', '204', '136', '64', '175', '160', '397', '372']
['445', '328', '86', '206', '215', '284', '485', '449', '169', '97']
['229', '432', '470', '388', '203', '482', '346', '360', '415', '88']
['480', '70', '326', '250', '448', '198', '469', '390', '27', '273']
['125', '137', '96', '14', '79', '202', '313', '349', '244', '331']
['83', '106', '237', '325', '260', '440', '403', '407', '422', '306']
['4', '252', '163', '276', '196', '193', '15', '477', '16', '62']
['290', '151', '0', '363', '239', '32', '297', '319', '210', '435']
['263', '140', '18', '126', '409', '179', '162', '155', '285', '413']
['118', '380', '370', '174', '465', '364', '51', '288', '335', '452']
['408', '213', '377', '233', '420', '270', '367', '280', '124', '419']
['292', '112', '354', '115', '310', '150', '467', '389', '45', '444']
['398', '412', '384', '336', '148', '147', '75', '466', '496', '474']
['378', '185', '54', '226', '392', '5', '3', '92', '299', '264']
['228', '128', '135', '479', '327', '451', '41', '400', '339', '352']
['302', '90', '211', '305', '138', '167', '243', '22', '6', '181']
['36', '232', '91', '361', '168', '322', '184', '23', '172', '247']
['165', '17', '131', '381', '278', '258', '153', '274', '191', '37']
['43', '394', '300', '277', '484', '221', '359', '423', '133', '387']
['383', '141', '78', '316', '476', '217', '471', '82', '483', '473']
['59', '497', '431', '80', '498', '199', '267', '356', '156', '242']
['104', '246', '89', '127', '130', '499', '111', '235', '493', '21']
['341', '265', '170', '486', '194', '332', '161', '255', '456', '490']
['58', '492', '72', '303', '301', '382', '10', '338', '35', '100']
['164', '212', '30', '183', '375', '12', '38', '282', '351', '227']
['279', '464', '401', '219', '13', '26', '446', '139', '379', '271']
['195', '48', '272', '439', '66', '426', '158', '491', '93', '358']
['56', '40', '489', '427', '230', '200', '430', '178', '102', '209']
['287', '192', '323', '343', '44', '113', '73', '152', '85', '2']
['417', '254', '224', '404', '458', '318', '309', '240', '261', '411']
['24', '304', '50', '269', '368', '120', '19', '391', '256', '461']
['109', '296', '495', '107', '428', '410', '457', '294', '259', '249']
['308', '77', '385', '353', '442', '421', '416', '218', '9', '157']
['453', '443', '494', '25', '475', '396', '248', '436', '143', '371']
['129', '462', '365', '42', '166', '1', '67', '350', '117', '468']
['348', '119', '366', '253', '369', '142', '355', '159', '488', '52']
['8', '257', '334', '345', '49', '395', '245', '460', '57', '144']
['108', '7', '291', '180', '223', '406', '418', '234', '438', '329']
['47', '84', '231', '69', '20', '94', '103', '123', '95', '437']
['187', '29', '357', '188', '116', '114', '39', '425', '236', '344']
['283', '447', '28', '399', '337', '105', '149', '330', '76', '63']
['68', '154', '173', '33', '433', '281', '362', '266', '220', '295']
['262', '110', '405', '98', '208', '459', '376', '434', '101', '225']
['286', '298', '190', '463', '386', '441', '146', '347', '402', '275']
['268', '373', '414', '317', '238', '205', '393', '34', '340', '186']
['289', '145', '99', '176', '216', '374', '307', '121', '46', '81']
['55', '222', '429', '197', '177', '315', '293', '241', '201', '487']
['312', '314', '311', '472', '189', '320', '424', '450', '455', '333']
['74', '454', '342', '60', '134', '61', '207', '11', '214', '71']
['87', '478', '324', '171', '132', '251', '481', '53', '31', '182']
