['643', '570', '494', '275', '385', '241', '648']
['551', '243', '472', '331', '362', '53', '29']
['466', '59', '164', '468', '452', '471', '698']
['248', '636', '136', '229', '147', '660', '278']
['477', '95', '259', '141', '38', '628', '666']
['545', '269', '486', '328', '615', '76', '236']
['188', '264', '113', '397', '228', '631', '281']
['674', '322', '690', '325', '557', '390', '672']
['693', '180', '558', '90', '103', '651', '128']
['662', '464', '309', '344', '71', '207', '312']
['340', '195', '632', '194', '10', '187', '268']
['410', '625', '638', '687', '316', '421', '333']
['504', '460', '100', '389', '561', '441', '83']
['432', '578', '444', '398', '230', '641', '226']
['623', '158', '507', '616', '27', '482', '388']
['640', '679', '326', '35', '310', '350', '235']
['699', '474', '457', '403', '367', '251', '272']
['242', '161', '470', '214', '696', '57', '544']
['613', '446', '255', '73', '277', '109', '224']
['155', '244', '669', '612', '554', '363', '88']
['645', '438', '552', '357', '94', '427', '165']
['7', '190', '294', '509', '199', '307', '288']
['525', '564', '458', '548', '205', '387', '455']
['681', '429', '404', '361', '102', '496', '586']
['532', '274', '47', '493', '177', '34', '671']
['227', '184', '311', '192', '683', '12', '478']
['371', '467', '97', '302', '434', '393', '451']
['368', '48', '172', '483', '592', '114', '293']
['273', '337', '479', '46', '98', '694', '605']
['589', '330', '123', '609', '32', '197', '602']
['11', '148', '126', '239', '622', '442', '637']
['25', '423', '418', '162', '450', '338', '453']
['129', '352', '502', '587', '117', '560', '439']
['644', '252', '157', '222', '82', '597', '20']
['185', '169', '203', '533', '138', '159', '286']
['449', '4', '511', '63', '487', '512', '68']
['258', '270', '209', '319', '485', '499', '237']
['62', '178', '69', '217', '26', '606', '401']
['122', '297', '686', '555', '567', '497', '152']
['142', '663', '198', '31', '314', '665', '296']
['406', '52', '394', '276', '176', '518', '635']
['391', '435', '253', '529', '617', '28', '36']
['101', '5', '24', '215', '8', '304', '291']
['585', '93', '559', '80', '433', '596', '673']
['599', '688', '150', '75', '580', '219', '619']
['380', '534', '284', '18', '634', '146', '655']
['670', '659', '500', '476', '657', '0', '667']
['395', '459', '359', '212', '320', '191', '303']
['40', '430', '64', '456', '595', '653', '140']
['414', '508', '143', '526', '691', '279', '9']
['626', '298', '601', '469', '201', '598', '572']
['221', '542', '428', '336', '42', '43', '685']
['461', '647', '134', '267', '503', '354', '426']
['684', '50', '2', '56', '305', '492', '573']
['680', '166', '106', '697', '675', '588', '402']
['250', '384', '233', '419', '223', '519', '682']
['695', '664', '15', '604', '285', '96', '308']
['445', '576', '295', '649', '349', '540', '513']
['256', '105', '111', '299', '624', '16', '329']
['506', '153', '119', '618', '523', '577', '220']
['67', '375', '168', '66', '341', '546', '531']
['78', '425', '372', '343', '306', '549', '463']
['179', '365', '262', '133', '263', '413', '317']
['422', '658', '594', '45', '149', '107', '218']
['399', '287', '347', '408', '501', '454', '131']
['202', '553', '568', '280', '364', '514', '566']
['300', '400', '156', '49', '1', '81', '193']
['257', '396', '381', '593', '447', '530', '607']
['60', '639', '490', '137', '189', '174', '30']
['247', '550', '290', '154', '173', '282', '366']
['33', '627', '292', '360', '522', '521', '436']
['216', '642', '376', '575', '37', '424', '369']
['79', '210', '591', '420', '536', '491', '87']
['120', '348', '19', '677', '84', '579', '621']
['171', '271', '183', '620', '245', '535', '488']
['678', '313', '415', '240', '654', '232', '475']
['539', '584', '443', '339', '416', '562', '335']
['382', '383', '600', '405', '151', '246', '358']
['104', '249', '92', '108', '139', '374', '55']
['234', '355', '409', '556', '130', '524', '208']
['378', '211', '462', '377', '417', '629', '182']
['565', '118', '22', '186', '412', '74', '85']
['196', '261', '345', '58', '520', '614', '652']
['480', '342', '170', '582', '23', '204', '656']
['484', '116', '125', '495', '353', '163', '327']
['537', '99', '581', '127', '289', '160', '260']
['225', '676', '351', '124', '505', '77', '89']
['515', '6', '14', '51', '181', '689', '392']
['437', '510', '574', '489', '86', '21', '135']
['569', '175', '91', '583', '346', '407', '386']
['590', '3', '301', '44', '563', '543', '646']
['465', '431', '633', '65', '661', '370', '318']
['112', '610', '54', '200', '315', '13', '323']
['231', '630', '538', '121', '70', '603', '692']
['132', '17', '145', '547', '72', '115', '265']
['668', '39', '41', '324', '498', '528', '167']
['481', '571', '144', '254', '110', '373', '213']
['206', '527', '611', '334', '448', '61', '332']
['356', '608', '516', '266', '321', '473', '650']
['283', '379', '541', '238', '411', '517', '440']
