['940', '456', '105', '218', '255', '826', '655', '46', '381', '251', '466', '784', '198', '223', '115', '656', '921', '446', '3', '769', '77', '577', '470', '789', '889', '523', '559', '819', '37', '425', '740', '9', '96', '155', '915', '991', '447', '875', '724', '359', '793', '532', '182', '556', '760', '687', '70', '604', '206', '404']
['158', '303', '48', '249', '242', '575', '410', '319', '953', '208', '727', '11', '692', '701', '480', '883', '553', '726', '910', '414', '406', '513', '518', '212', '226', '573', '296', '106', '857', '865', '292', '33', '418', '148', '715', '781', '752', '684', '370', '130', '996', '448', '565', '639', '416', '19', '41', '44', '185', '351']
['637', '160', '615', '613', '196', '178', '546', '135', '633', '651', '815', '161', '601', '184', '385', '455', '589', '868', '598', '315', '225', '332', '66', '982', '668', '843', '634', '95', '322', '855', '481', '217', '493', '445', '495', '202', '176', '803', '732', '608', '22', '109', '430', '76', '650', '118', '706', '17', '263', '282']
['392', '354', '211', '587', '253', '990', '543', '428', '908', '68', '451', '2', '851', '189', '281', '517', '958', '421', '136', '179', '128', '567', '375', '279', '720', '624', '306', '250', '689', '42', '90', '871', '632', '776', '959', '844', '172', '932', '794', '975', '482', '230', '84', '192', '252', '705', '974', '945', '834', '646']
['998', '472', '939', '566', '728', '412', '786', '259', '94', '607', '862', '452', '312', '326', '297', '551', '295', '344', '863', '925', '568', '761', '122', '194', '434', '316', '372', '721', '820', '126', '804', '766', '623', '367', '686', '541', '398', '65', '47', '757', '654', '698', '378', '92', '277', '275', '113', '528', '382', '45']
['36', '688', '257', '54', '795', '534', '669', '397', '465', '383', '360', '308', '892', '694', '484', '898', '680', '969', '235', '4', '386', '219', '254', '162', '564', '993', '462', '258', '597', '317', '545', '444', '610', '459', '914', '369', '1', '214', '696', '232', '628', '966', '629', '821', '261', '433', '483', '947', '636', '949']
['201', '708', '283', '762', '449', '138', '754', '110', '905', '751', '617', '742', '58', '964', '439', '139', '778', '220', '231', '584', '52', '703', '900', '919', '622', '83', '897', '13', '486', '302', '999', '426', '946', '276', '832', '124', '500', '98', '266', '734', '716', '841', '24', '341', '388', '704', '453', '817', '574', '768']
['849', '291', '780', '602', '540', '32', '301', '787', '27', '137', '424', '777', '860', '16', '336', '498', '739', '366', '203', '97', '810', '644', '333', '246', '866', '156', '427', '788', '839', '994', '772', '339', '936', '188', '569', '504', '197', '265', '284', '690', '972', '755', '842', '373', '693', '374', '659', '88', '67', '926']
['119', '396', '394', '285', '538', '558', '580', '14', '723', '916', '560', '143', '140', '181', '719', '586', '526', '489', '571', '35', '215', '325', '346', '411', '18', '642', '830', '864', '269', '663', '699', '103', '75', '983', '595', '917', '491', '390', '561', '464', '479', '30', '731', '683', '377', '652', '807', '200', '34', '239']
['490', '149', '91', '262', '405', '928', '516', '802', '562', '475', '195', '702', '873', '40', '585', '600', '904', '544', '620', '352', '286', '379', '753', '593', '829', '241', '463', '885', '121', '368', '152', '104', '8', '950', '304', '305', '102', '965', '988', '69', '53', '707', '237', '984', '521', '327', '443', '640', '371', '311']
['461', '349', '507', '131', '697', '572', '420', '931', '922', '436', '21', '20', '99', '186', '836', '588', '533', '329', '649', '205', '221', '563', '800', '890', '682', '822', '29', '15', '711', '638', '116', '245', '978', '270', '942', '365', '520', '872', '120', '328', '806', '164', '611', '247', '869', '674', '193', '387', '691', '912']
