['638', '859', '459', '607', '397', '332', '747', '54', '888', '907']
['278', '445', '717', '712', '317', '830', '565', '869', '537', '375']
['67', '271', '198', '553', '494', '673', '881', '895', '634', '356']
['338', '552', '753', '341', '616', '731', '440', '107', '169', '455']
['400', '120', '239', '490', '500', '156', '75', '855', '480', '819']
['976', '850', '851', '527', '61', '854', '847', '902', '412', '300']
['757', '447', '432', '178', '214', '133', '195', '959', '734', '149']
['417', '841', '522', '238', '308', '51', '461', '564', '507', '475']
['315', '414', '121', '407', '342', '979', '840', '88', '981', '250']
['756', '897', '631', '708', '134', '966', '65', '530', '164', '337']
['815', '580', '396', '785', '184', '87', '35', '367', '62', '991']
['152', '857', '204', '243', '736', '727', '934', '778', '993', '651']
['749', '443', '927', '660', '782', '681', '439', '240', '56', '189']
['723', '86', '938', '732', '410', '901', '687', '990', '144', '334']
['533', '162', '921', '209', '711', '202', '861', '234', '473', '173']
['705', '994', '598', '153', '325', '961', '595', '971', '379', '267']
['425', '930', '52', '25', '919', '877', '945', '845', '978', '762']
['335', '789', '776', '146', '796', '298', '887', '865', '710', '183']
['618', '135', '995', '102', '512', '986', '145', '597', '772', '403']
['281', '244', '488', '437', '923', '663', '293', '460', '534', '944']
['380', '313', '951', '909', '633', '666', '491', '943', '50', '688']
['309', '159', '264', '29', '985', '474', '777', '551', '463', '7']
['260', '645', '963', '543', '622', '71', '866', '233', '44', '682']
['769', '118', '779', '659', '172', '103', '346', '502', '27', '629']
['96', '402', '14', '788', '593', '422', '398', '766', '620', '765']
['531', '60', '291', '604', '526', '916', '829', '55', '674', '548']
['11', '745', '740', '714', '970', '668', '416', '742', '790', '167']
['2', '297', '268', '8', '80', '809', '523', '370', '999', '217']
['150', '175', '713', '587', '301', '194', '832', '221', '276', '744']
['158', '182', '942', '520', '223', '324', '808', '84', '891', '40']
['366', '5', '478', '314', '746', '210', '610', '3', '936', '49']
['78', '311', '886', '910', '722', '171', '32', '988', '252', '730']
['914', '46', '948', '343', '85', '562', '228', '270', '592', '664']
['444', '69', '655', '435', '446', '377', '336', '436', '353', '882']
['505', '761', '401', '590', '82', '786', '773', '724', '382', '352']
['389', '47', '573', '180', '818', '754', '636', '941', '935', '160']
['248', '42', '373', '227', '613', '304', '764', '812', '36', '969']
['258', '468', '608', '399', '37', '310', '405', '858', '741', '319']
['953', '575', '187', '920', '222', '509', '768', '656', '359', '873']
['649', '15', '546', '106', '874', '97', '154', '908', '296', '409']
['66', '577', '442', '617', '251', '884', '890', '676', '22', '924']
['31', '698', '728', '351', '381', '467', '148', '470', '987', '679']
['521', '977', '650', '456', '558', '532', '259', '816', '950', '275']
['899', '219', '813', '759', '709', '932', '161', '658', '675', '472']
['563', '43', '181', '288', '508', '603', '249', '583', '922', '878']
['982', '485', '879', '974', '411', '630', '196', '372', '929', '140']
['33', '625', '57', '450', '912', '89', '798', '364', '528', '925']
['404', '143', '355', '236', '677', '576', '429', '957', '307', '208']
['737', '755', '980', '23', '644', '804', '186', '83', '540', '482']
['863', '216', '579', '996', '792', '842', '493', '947', '384', '279']
['686', '406', '10', '719', '235', '486', '492', '803', '956', '81']
['715', '350', '157', '98', '641', '707', '606', '318', '814', '791']
['142', '931', '836', '365', '287', '539', '177', '807', '647', '168']
['685', '306', '525', '426', '569', '843', '261', '581', '787', '347']
['277', '868', '292', '557', '571', '294', '280', '870', '206', '312']
['212', '0', '34', '179', '918', '838', '197', '665', '780', '561']
['123', '810', '394', '839', '928', '256', '496', '129', '9', '489']
['848', '387', '128', '983', '693', '825', '643', '413', '415', '781']
['99', '799', '38', '872', '770', '386', '108', '254', '391', '484']
['689', '827', '64', '79', '151', '192', '224', '547', '699', '542']
['853', '831', '626', '333', '95', '837', '348', '514', '997', '30']
['326', '605', '517', '130', '24', '657', '74', '716', '495', '735']
['615', '960', '20', '498', '114', '45', '529', '462', '122', '670']
['574', '549', '266', '515', '771', '911', '231', '860', '880', '117']
['392', '13', '358', '871', '109', '760', '451', '862', '104', '703']
['72', '800', '683', '667', '321', '652', '545', '225', '570', '609']
['16', '190', '775', '556', '586', '680', '105', '541', '733', '91']
['900', '824', '242', '504', '19', '627', '917', '555', '601', '678']
['589', '479', '632', '536', '750', '188', '423', '229', '253', '483']
['726', '875', '893', '896', '274', '849', '469', '331', '696', '200']
['624', '518', '964', '691', '424', '913', '958', '295', '349', '454']
['892', '269', '305', '374', '905', '904', '390', '418', '834', '794']
['998', '59', '100', '420', '273', '383', '230', '844', '58', '499']
['535', '282', '211', '763', '453', '68', '646', '113', '729', '933']
['949', '635', '441', '137', '395', '433', '360', '408', '139', '237']
['802', '63', '582', '94', '272', '428', '784', '973', '92', '339']
['937', '584', '361', '835', '572', '793', '568', '452', '823', '826']
['427', '883', '419', '524', '805', '972', '704', '431', '648', '464']
['544', '538', '752', '623', '76', '363', '694', '612', '263', '110']
['783', '90', '457', '516', '4', '354', '506', '477', '70', '220']
['967', '241', '393', '330', '124', '481', '614', '898', '588', '669']
['369', '77', '205', '621', '93', '739', '718', '697', '751', '438']
['127', '215', '141', '328', '594', '599', '1', '165', '820', '170']
['885', '6', '876', '591', '344', '126', '968', '946', '131', '185']
['864', '695', '915', '449', '147', '619', '559', '284', '21', '191']
['867', '975', '822', '795', '992', '471', '465', '226', '323', '322']
['257', '821', '232', '302', '199', '600', '510', '421', '458', '661']
['213', '289', '207', '700', '116', '218', '962', '578', '362', '53']
['628', '567', '503', '247', '894', '430', '303', '602', '138', '39']
['357', '163', '743', '285', '903', '560', '671', '262', '550', '637']
