['878', '358', '551', '444', '660', '914', '475', '987', '59', '265', '720', '461', '934', '306', '449', '122', '843', '745', '100', '224']
['24', '507', '695', '74', '634', '994', '49', '913', '908', '711', '717', '26', '862', '562', '898', '226', '467', '981', '973', '691']
['336', '216', '136', '582', '935', '864', '190', '828', '903', '164', '847', '794', '815', '255', '331', '359', '735', '732', '607', '281']
['368', '463', '909', '231', '518', '97', '758', '897', '29', '774', '755', '205', '471', '665', '176', '323', '786', '404', '7', '917']
['316', '21', '514', '694', '785', '315', '385', '92', '260', '889', '215', '289', '389', '431', '942', '112', '417', '492', '716', '299']
['218', '948', '17', '64', '520', '298', '491', '280', '161', '248', '715', '910', '465', '919', '599', '287', '202', '433', '436', '407']
['246', '531', '822', '877', '767', '860', '685', '748', '409', '302', '846', '307', '110', '526', '83', '969', '27', '484', '558', '772']
['538', '790', '557', '798', '428', '968', '267', '77', '764', '166', '929', '796', '956', '651', '861', '274', '105', '442', '788', '730']
['726', '393', '596', '236', '452', '761', '60', '6', '259', '40', '544', '775', '73', '245', '679', '724', '638', '874', '895', '318']
['567', '925', '978', '109', '820', '308', '722', '630', '39', '648', '523', '179', '631', '982', '201', '266', '403', '340', '718', '42']
['688', '56', '556', '286', '482', '673', '657', '493', '490', '290', '542', '624', '182', '739', '553', '955', '564', '133', '157', '863']
['768', '54', '560', '398', '799', '183', '437', '696', '540', '420', '69', '464', '901', '912', '800', '84', '137', '342', '944', '819']
['619', '367', '458', '771', '402', '879', '632', '836', '680', '519', '397', '871', '652', '363', '369', '546', '532', '462', '795', '479']
['434', '35', '22', '496', '568', '628', '335', '905', '603', '975', '487', '324', '742', '840', '563', '2', '426', '911', '104', '868']
['350', '191', '743', '570', '991', '939', '124', '41', '689', '849', '257', '234', '282', '524', '146', '773', '494', '988', '902', '971']
['552', '954', '671', '85', '789', '667', '96', '253', '448', '297', '242', '343', '291', '521', '896', '940', '71', '33', '928', '721']
['160', '310', '235', '143', '459', '749', '263', '261', '50', '610', '23', '766', '719', '584', '154', '293', '147', '314', '932', '151']
['515', '443', '757', '498', '569', '920', '625', '669', '322', '353', '850', '276', '856', '332', '950', '149', '469', '311', '668', '937']
['424', '595', '728', '783', '983', '181', '354', '655', '554', '239', '386', '964', '646', '686', '753', '875', '791', '572', '445', '67']
['571', '107', '504', '529', '156', '121', '232', '391', '396', '376', '271', '3', '292', '52', '62', '321', '325', '837', '963', '750']
['173', '249', '288', '777', '326', '601', '170', '972', '374', '414', '145', '45', '780', '410', '16', '990', '91', '55', '258', '814']
['180', '98', '737', '961', '89', '855', '346', '501', '641', '95', '141', '590', '561', '565', '588', '936', '9', '674', '411', '778']
['186', '508', '53', '759', '4', '923', '72', '888', '951', '79', '392', '738', '134', '974', '99', '626', '230', '670', '612', '251']
['114', '965', '672', '763', '859', '583', '537', '980', '618', '841', '301', '394', '277', '102', '319', '388', '541', '400', '701', '82']
['413', '710', '938', '243', '488', '810', '640', '185', '78', '337', '399', '884', '806', '351', '1', '199', '115', '949', '117', '678']
['51', '435', '893', '714', '206', '87', '380', '196', '189', '94', '647', '617', '824', '237', '208', '985', '760', '999', '751', '378']
['866', '108', '352', '712', '614', '809', '816', '615', '804', '210', '446', '278', '296', '11', '349', '684', '158', '959', '643', '485']
['833', '548', '885', '142', '575', '535', '127', '627', '295', '533', '460', '466', '704', '952', '580', '93', '317', '240', '915', '725']
['782', '217', '165', '857', '229', '576', '347', '629', '713', '698', '113', '159', '547', '637', '993', '209', '375', '729', '851', '731']
['384', '162', '776', '762', '382', '522', '666', '18', '645', '0', '734', '600', '438', '858', '654', '926', '528', '500', '198', '123']
['867', '489', '697', '924', '169', '931', '472', '835', '178', '958', '193', '842', '103', '574', '752', '339', '727', '371', '927', '130']
['312', '733', '741', '275', '891', '516', '28', '338', '425', '213', '75', '132', '38', '214', '174', '984', '30', '427', '852', '962']
['220', '32', '228', '254', '48', '423', '966', '831', '227', '138', '155', '943', '416', '175', '918', '687', '188', '976', '148', '606']
['497', '827', '907', '899', '813', '305', '204', '865', '839', '372', '512', '333', '256', '70', '65', '187', '129', '979', '872', '194']
['81', '473', '700', '882', '690', '61', '579', '869', '511', '47', '573', '723', '609', '636', '362', '854', '379', '998', '131', '31']
['478', '116', '801', '348', '812', '223', '211', '873', '707', '262', '454', '534', '320', '881', '418', '405', '43', '200', '848', '86']
['10', '530', '635', '853', '455', '329', '705', '383', '46', '225', '803', '219', '366', '513', '539', '36', '432', '483', '644', '996']
['747', '283', '587', '8', '111', '953', '419', '144', '683', '429', '675', '876', '664', '456', '581', '916', '14', '870', '826', '960']
['977', '313', '781', '904', '370', '327', '593', '395', '207', '244', '967', '447', '441', '986', '163', '845', '272', '203', '364', '549']
['611', '90', '947', '365', '517', '621', '945', '844', '470', '736', '357', '381', '356', '663', '756', '474', '787', '150', '661', '477']
['941', '692', '740', '330', '300', '662', '126', '80', '890', '101', '195', '505', '566', '184', '279', '946', '887', '997', '152', '605']
['421', '509', '834', '793', '604', '506', '119', '328', '252', '476', '811', '422', '706', '360', '499', '439', '58', '20', '825', '642']
['784', '66', '453', '120', '829', '197', '125', '616', '653', '37', '12', '883', '408', '135', '702', '995', '222', '823', '294', '989']
['818', '118', '797', '285', '676', '250', '817', '172', '510', '440', '620', '525', '922', '886', '765', '708', '970', '412', '639', '682']
['76', '480', '659', '656', '677', '585', '13', '792', '555', '373', '602', '390', '536', '754', '578', '341', '894', '106', '5', '451']
['303', '430', '502', '284', '34', '481', '906', '703', '658', '355', '304', '44', '699', '457', '880', '19', '273', '830', '344', '241']
['821', '597', '594', '15', '992', '233', '68', '63', '269', '930', '744', '387', '746', '192', '495', '591', '802', '900', '598', '808']
