['335', '313', '399', '556', '38', '86', '9', '47', '671', '422', '303', '93', '636', '655', '82', '22', '602', '371', '508', '55', '363', '694', '421', '382', '280', '562', '168', '369', '403', '596', '579', '164', '228', '357', '669', '274', '227', '555', '276', '329', '512', '478', '320', '88', '397', '407', '746', '129', '511', '6']
['552', '598', '725', '135', '200', '585', '410', '528', '504', '712', '7', '339', '412', '413', '37', '68', '489', '396', '336', '87', '12', '270', '103', '701', '444', '65', '506', '646', '163', '256', '527', '251', '425', '460', '317', '24', '620', '535', '497', '660', '515', '468', '319', '140', '625', '107', '479', '267', '681', '420']
['23', '120', '181', '393', '257', '353', '474', '505', '609', '178', '408', '211', '173', '187', '445', '299', '416', '432', '295', '688', '356', '654', '650', '0', '90', '350', '733', '167', '375', '418', '431', '498', '456', '517', '726', '225', '194', '341', '661', '354', '80', '13', '588', '647', '212', '659', '149', '250', '154', '570']
['249', '627', '327', '578', '702', '597', '210', '492', '737', '328', '138', '672', '19', '130', '384', '142', '574', '565', '132', '531', '411', '4', '247', '677', '451', '548', '666', '415', '546', '446', '542', '734', '110', '346', '102', '514', '241', '231', '333', '740', '378', '458', '591', '72', '199', '520', '159', '48', '686', '3']
['245', '699', '246', '44', '92', '543', '693', '593', '17', '234', '34', '389', '518', '480', '435', '261', '519', '509', '580', '709', '21', '316', '491', '96', '293', '342', '252', '109', '477', '284', '452', '242', '203', '79', '557', '355', '708', '534', '60', '584', '390', '621', '651', '727', '238', '664', '748', '526', '560', '64']
['732', '551', '484', '283', '569', '121', '513', '162', '45', '386', '151', '738', '665', '380', '204', '419', '645', '255', '490', '428', '394', '443', '687', '450', '720', '185', '744', '1', '471', '594', '529', '153', '127', '652', '360', '155', '39', '220', '165', '340', '275', '453', '338', '10', '74', '370', '486', '599', '404', '83']
['69', '62', '383', '302', '259', '366', '123', '610', '84', '434', '624', '632', '454', '368', '291', '157', '525', '657', '461', '635', '398', '713', '475', '589', '612', '97', '287', '277', '152', '436', '145', '427', '150', '222', '186', '197', '209', '567', '430', '115', '271', '213', '441', '205', '304', '592', '294', '523', '554', '191']
['147', '70', '308', '290', '724', '697', '564', '63', '230', '605', '462', '125', '332', '27', '649', '54', '572', '711', '469', '263', '53', '91', '236', '111', '345', '78', '472', '719', '33', '196', '495', '85', '692', '221', '608', '516', '532', '279', '544', '322', '662', '28', '119', '374', '106', '739', '682', '198', '722', '392']
['113', '175', '473', '264', '51', '406', '134', '614', '143', '285', '15', '244', '663', '577', '617', '706', '571', '217', '735', '288', '493', '470', '631', '487', '640', '429', '192', '437', '248', '171', '628', '457', '582', '161', '500', '521', '126', '680', '57', '485', '698', '216', '496', '400', '553', '590', '600', '639', '100', '466']
['381', '180', '494', '481', '643', '41', '364', '658', '50', '417', '137', '501', '89', '289', '105', '367', '301', '141', '309', '603', '488', '401', '507', '653', '424', '433', '547', '550', '619', '131', '696', '30', '148', '586', '26', '310', '117', '226', '296', '575', '613', '334', '49', '240', '2', '176', '349', '229', '561', '343']
['189', '218', '634', '133', '622', '607', '463', '269', '549', '684', '94', '541', '314', '676', '611', '243', '20', '172', '201', '414', '558', '337', '331', '604', '409', '359', '499', '476', '124', '464', '539', '749', '442', '160', '29', '721', '104', '405', '188', '745', '278', '522', '637', '208', '630', '182', '626', '714', '76', '638']
['156', '533', '71', '483', '233', '101', '587', '747', '128', '177', '395', '268', '668', '237', '59', '448', '11', '297', '689', '465', '292', '731', '77', '691', '540', '716', '690', '736', '325', '440', '358', '56', '318', '312', '202', '116', '510', '5', '219', '530', '595', '545', '40', '18', '459', '388', '402', '379', '307', '467']
['566', '723', '136', '223', '563', '482', '373', '439', '25', '503', '347', '700', '262', '58', '344', '43', '323', '707', '715', '253', '158', '648', '98', '426', '311', '576', '717', '679', '718', '8', '272', '321', '633', '42', '667', '170', '254', '683', '265', '99', '642', '704', '330', '365', '31', '174', '644', '324', '35', '741']
['376', '568', '455', '673', '232', '710', '447', '66', '235', '675', '190', '215', '61', '730', '729', '36', '361', '537', '559', '75', '306', '184', '298', '348', '362', '387', '502', '372', '81', '224', '112', '656', '583', '538', '351', '685', '146', '705', '423', '629', '618', '743', '377', '391', '449', '536', '266', '95', '52', '281']
['108', '742', '352', '183', '315', '670', '169', '728', '385', '606', '46', '623', '260', '16', '678', '674', '214', '615', '139', '573', '524', '166', '286', '282', '616', '32', '438', '581', '703', '695', '305', '195', '67', '144', '273', '601', '258', '14', '239', '114', '300', '206', '326', '641', '193', '207', '73', '122', '118', '179']
