['232', '407', '488', '664', '175', '186', '710', '640', '115', '556', '234', '158', '251', '370', '188', '254', '16', '285', '360', '603', '255', '633', '483', '791', '103', '8', '671', '793', '599', '439', '19', '526', '717', '751', '287', '497', '530', '341', '404', '361', '266', '697', '382', '651', '754', '731', '786', '746', '350', '332']
['210', '14', '184', '681', '239', '249', '511', '794', '492', '766', '284', '44', '205', '192', '389', '521', '704', '100', '452', '85', '459', '221', '371', '355', '729', '541', '405', '253', '121', '656', '91', '1', '705', '54', '416', '622', '785', '378', '336', '585', '744', '235', '263', '778', '513', '609', '267', '460', '353', '481']
['423', '286', '487', '796', '600', '181', '408', '76', '456', '160', '97', '129', '72', '532', '152', '753', '133', '67', '724', '426', '2', '797', '17', '635', '22', '410', '604', '69', '501', '572', '520', '482', '208', '470', '708', '745', '614', '739', '430', '563', '136', '257', '735', '737', '421', '349', '252', '163', '367', '5']
['525', '422', '140', '691', '342', '568', '369', '156', '549', '50', '403', '289', '551', '560', '187', '761', '113', '384', '320', '400', '66', '242', '630', '574', '322', '31', '383', '716', '282', '46', '548', '518', '315', '646', '768', '30', '476', '345', '35', '228', '780', '637', '591', '490', '183', '561', '424', '137', '36', '593']
['344', '743', '463', '519', '215', '414', '269', '699', '395', '795', '388', '636', '126', '469', '438', '204', '684', '60', '579', '372', '790', '177', '732', '693', '792', '209', '303', '475', '96', '471', '55', '248', '206', '258', '171', '457', '542', '442', '231', '431', '80', '682', '504', '559', '75', '167', '678', '528', '81', '537']
['313', '311', '38', '116', '87', '666', '138', '498', '11', '740', '543', '721', '366', '64', '191', '417', '37', '544', '425', '168', '314', '644', '529', '193', '244', '540', '47', '73', '507', '628', '486', '522', '107', '698', '95', '354', '468', '240', '700', '222', '658', '642', '149', '545', '728', '763', '573', '464', '550', '351']
['494', '652', '159', '391', '552', '455', '428', '567', '606', '608', '200', '449', '78', '343', '720', '582', '441', '195', '147', '326', '762', '478', '473', '564', '448', '340', '274', '755', '620', '444', '225', '301', '20', '484', '645', '337', '397', '675', '534', '583', '144', '207', '638', '292', '338', '615', '523', '440', '304', '375']
['98', '230', '701', '132', '503', '657', '29', '695', '214', '477', '443', '61', '189', '28', '88', '451', '58', '558', '686', '760', '256', '595', '485', '151', '514', '588', '374', '185', '474', '363', '106', '319', '387', '672', '634', '352', '461', '180', '707', '712', '597', '143', '217', '685', '236', '770', '445', '294', '466', '27']
['246', '736', '415', '631', '134', '767', '650', '687', '733', '135', '759', '569', '661', '166', '613', '379', '607', '26', '243', '714', '203', '565', '111', '458', '706', '500', '170', '618', '587', '220', '53', '196', '127', '264', '776', '694', '317', '270', '715', '213', '178', '703', '738', '93', '510', '218', '307', '364', '535', '655']
['357', '298', '725', '201', '775', '798', '632', '711', '131', '42', '105', '623', '472', '577', '432', '772', '41', '174', '52', '596', '260', '385', '758', '296', '278', '653', '764', '373', '145', '128', '493', '148', '92', '224', '6', '118', '283', '212', '56', '773', '102', '45', '386', '74', '629', '557', '581', '150', '21', '418']
['65', '3', '598', '157', '690', '202', '536', '62', '649', '293', '749', '327', '281', '465', '433', '250', '774', '453', '462', '402', '94', '782', '394', '310', '781', '625', '4', '198', '467', '756', '437', '153', '641', '335', '12', '10', '328', '665', '164', '508', '539', '9', '619', '305', '673', '401', '571', '297', '40', '398']
['34', '396', '506', '624', '524', '199', '83', '601', '331', '24', '446', '516', '709', '626', '584', '309', '300', '789', '123', '70', '162', '112', '169', '409', '330', '15', '299', '648', '757', '436', '480', '272', '435', '155', '13', '621', '124', '165', '329', '194', '122', '479', '748', '323', '291', '68', '179', '570', '79', '182']
['362', '108', '154', '172', '125', '261', '647', '114', '495', '496', '211', '765', '727', '99', '512', '674', '713', '197', '318', '546', '43', '32', '554', '390', '676', '227', '639', '662', '505', '726', '279', '605', '308', '356', '491', '515', '427', '668', '502', '643', '602', '223', '276', '547', '412', '533', '90', '392', '429', '799']
['82', '275', '302', '176', '627', '434', '241', '290', '277', '566', '84', '730', '777', '346', '752', '779', '723', '406', '450', '509', '139', '419', '454', '259', '575', '688', '499', '18', '161', '324', '173', '611', '245', '219', '580', '48', '531', '86', '692', '411', '586', '130', '358', '538', '612', '262', '578', '237', '447', '333']
['63', '555', '7', '120', '679', '101', '59', '359', '334', '696', '380', '589', '576', '229', '750', '659', '0', '268', '660', '295', '273', '247', '719', '747', '146', '312', '110', '527', '321', '238', '610', '190', '677', '393', '365', '119', '420', '109', '271', '288', '117', '141', '702', '654', '316', '413', '771', '381', '348', '89']
['265', '562', '689', '339', '667', '25', '680', '325', '553', '788', '742', '517', '49', '71', '142', '77', '33', '368', '376', '226', '233', '590', '489', '592', '670', '734', '216', '616', '57', '741', '787', '347', '663', '784', '39', '669', '23', '769', '722', '718', '399', '377', '51', '594', '683', '306', '783', '104', '280', '617']
