['266', '594', '214', '52', '320', '450', '909', '32', '570', '16', '769', '649', '551', '495', '535', '59', '115', '99', '521', '447', '891', '317', '68', '190', '644', '874', '8', '560', '125', '632', '712', '372', '755', '795', '916', '549', '199', '19', '340', '365', '587', '683', '177', '650', '658', '185', '533', '368', '390', '132']
['846', '943', '517', '852', '626', '617', '169', '503', '772', '513', '66', '247', '612', '580', '331', '783', '306', '114', '944', '572', '906', '643', '857', '754', '254', '934', '94', '328', '816', '64', '249', '744', '801', '136', '523', '204', '339', '240', '40', '474', '420', '719', '351', '119', '553', '867', '662', '338', '705', '36']
['302', '865', '441', '217', '701', '224', '672', '730', '65', '424', '255', '910', '103', '415', '141', '96', '855', '843', '168', '616', '620', '257', '181', '292', '726', '540', '578', '842', '350', '922', '189', '97', '500', '209', '397', '631', '878', '464', '948', '332', '901', '613', '697', '895', '163', '497', '902', '410', '248', '592']
['633', '453', '515', '443', '903', '381', '657', '931', '856', '105', '283', '608', '129', '581', '149', '176', '131', '456', '898', '710', '660', '389', '869', '143', '698', '480', '26', '746', '183', '720', '491', '427', '285', '157', '449', '69', '203', '108', '861', '226', '256', '573', '738', '165', '896', '408', '366', '748', '50', '519']
['707', '93', '260', '887', '838', '767', '947', '912', '228', '43', '155', '53', '914', '472', '625', '779', '918', '653', '222', '905', '423', '34', '488', '490', '324', '374', '926', '561', '935', '361', '615', '623', '695', '863', '762', '577', '167', '280', '890', '696', '83', '444', '392', '492', '207', '77', '230', '479', '854', '668']
['220', '348', '864', '15', '212', '723', '322', '271', '88', '159', '850', '870', '60', '637', '605', '7', '882', '24', '776', '478', '569', '250', '316', '473', '848', '284', '291', '56', '680', '823', '559', '704', '298', '936', '9', '475', '634', '101', '235', '536', '278', '251', '386', '509', '756', '832', '180', '689', '699', '678']
['714', '886', '436', '357', '309', '860', '798', '433', '655', '428', '10', '304', '437', '737', '310', '751', '494', '174', '552', '375', '610', '133', '853', '534', '175', '677', '327', '425', '98', '463', '760', '417', '501', '749', '938', '791', '546', '329', '85', '113', '766', '753', '547', '426', '628', '387', '652', '134', '875', '41']
['920', '356']
['23', '308', '263', '281', '476', '201', '307', '647', '384', '466', '471', '200', '839', '665', '197', '152', '267', '412', '664', '541', '252', '529', '888', '253', '715', '871', '518', '223', '736', '193', '778', '287', '363', '741', '522', '123', '457', '512', '897', '14', '734', '142', '483', '787', '264', '508', '663', '460', '130', '670']
['74', '543', '831', '135', '442', '21', '46', '215', '221', '907', '759', '376', '145', '739', '325', '482', '246', '942', '76', '802', '525', '596', '81', '218', '290', '771', '432', '95', '92', '692', '505', '556', '794', '879', '342', '822', '120', '526', '485', '112', '164', '359', '820', '326', '274', '297', '431', '598', '713', '422']
['346', '661', '859', '937', '371', '868', '837', '47', '272', '862', '13', '470', '545', '645', '544', '686', '111', '735', '591', '638', '811', '780', '4', '391', '213', '67', '506', '700', '462', '538', '406', '520', '835', '312', '810', '913', '6', '722', '709', '161', '784', '636', '597', '817', '455', '238', '301', '147', '288', '186']
['803', '687', '568', '388', '89', '510', '192', '17', '468', '370', '558', '747', '876', '603', '789', '799', '725', '790', '355', '659', '20', '584', '243', '893', '814', '684', '929', '314', '731', '761', '702', '345', '261', '830', '109', '688', '516', '378', '740', '440', '194', '777', '724', '354', '70', '446', '666', '270', '911', '946']
['858', '499', '530', '629', '484', '921', '102', '815', '289', '458', '86', '923', '202', '889', '173', '236', '265', '44', '576', '565', '564', '344', '904', '690', '884', '268', '219', '752', '711', '294', '358', '940', '829', '383', '743', '706', '394', '124', '602', '403', '405', '259', '84', '821', '258', '828', '367', '693', '407', '419']
['676', '107', '467', '805', '38', '742', '757', '682', '554', '380', '528', '128', '140', '379', '171', '57', '589', '33', '807', '465', '548', '148', '75', '421', '849', '323', '640', '627', '845', '37', '881', '797', '836', '486', '3', '241', '498', '765', '764', '826', '574', '35', '915', '641', '55', '196', '434', '360', '91', '454']
['295', '788', '583', '208', '28', '334', '774', '206', '750', '121', '244', '825', '599', '606', '73', '477', '90', '12', '452', '493', '377', '172', '139', '461', '335', '211', '648', '604', '239', '673', '195', '557', '445', '29', '681', '5', '337', '827', '262', '917', '42', '305', '282', '939', '819', '393', '824', '590', '841', '242']
['79', '804', '11', '667', '137', '401', '866', '80', '319', '231', '300', '703', '733', '162', '396', '621', '122', '844', '245', '110', '539', '156', '321', '928', '555', '318', '630', '507', '729', '229', '286', '232', '273', '418', '25', '654', '669', '126', '933', '0', '435', '58', '341', '62', '847', '45', '469', '586', '727', '656']
['885', '413', '758', '269', '347', '542', '234', '225', '275', '718', '892', '782', '279', '404', '716', '429', '439', '416', '158', '624', '150', '651', '588', '563', '872', '785', '151', '27', '567', '487', '618', '227', '504', '691', '178', '531', '745', '781', '170', '806', '233', '117', '398', '191', '116', '22', '127', '793', '808', '2']
['925', '303', '571', '364', '708', '481', '834', '639', '524', '622', '532', '336', '87', '877', '674', '941', '166', '451', '276', '600', '385', '646', '399', '770', '144', '373', '894', '562', '582', '118', '210', '527', '812', '430', '18', '818', '609', '179', '71', '49', '775', '182', '72', '575', '675', '402', '198', '39', '694', '679']
['786', '880', '930', '296', '773', '369', '414', '184', '160', '792', '721', '642', '343', '502', '768', '352', '900', '763', '188', '78', '382', '330', '277', '619', '611', '311', '146', '63', '883', '514', '840', '459', '1', '293', '106', '607', '873', '728', '732', '349', '899', '30', '537', '409', '237', '813', '138', '671', '51', '216']
['362', '945', '809', '61', '579', '104', '153', '411', '54', '601', '496', '313', '595', '635', '187', '333', '585', '48', '932', '924', '593', '448', '908', '717', '949', '315', '353', '614', '800', '205', '796', '31', '919', '395', '685', '438', '511', '154', '927', '550', '100', '833', '299', '82', '489', '851', '400', '566']
