['244', '45', '209', '472', '228', '280', '18', '302', '172', '241']
['52', '58', '207', '391', '436', '420', '426', '4', '286', '496']
['212', '421', '308', '233', '60', '210', '317', '136', '349', '80']
['199', '237', '355', '53', '447', '238', '402', '481', '35', '332']
['234', '92', '295', '173', '377', '82', '341', '409', '362', '247']
['41', '169', '330', '55', '154', '175', '69', '30', '180', '328']
['61', '72', '260', '9', '156', '49', '460', '388', '352', '456']
['484', '351', '97', '106', '438', '251', '449', '59', '110', '327']
['413', '469', '416', '357', '46', '408', '42', '151', '91', '432']
['117', '121', '27', '453', '396', '7', '189', '441', '202', '306']
['29', '443', '129', '79', '303', '229', '220', '246', '176', '279']
['407', '17', '170', '119', '11', '255', '93', '261', '8', '479']
['23', '84', '374', '491', '257', '373', '127', '463', '231', '64']
['393', '412', '139', '205', '489', '227', '74', '201', '250', '73']
['321', '404', '363', '111', '181', '186', '123', '75', '422', '427']
['37', '195', '403', '371', '206', '389', '5', '146', '204', '185']
['57', '128', '167', '326', '459', '495', '296', '378', '356', '291']
['345', '414', '113', '333', '322', '348', '283', '44', '190', '494']
['165', '434', '137', '298', '25', '230', '442', '419', '329', '423']
['51', '437', '318', '410', '33', '3', '386', '340', '493', '273']
['216', '115', '315', '63', '171', '31', '78', '353', '499', '50']
['256', '360', '309', '454', '13', '152', '218', '429', '473', '444']
['292', '38', '264', '440', '425', '266', '98', '232', '12', '22']
['465', '32', '161', '369', '307', '159', '240', '285', '485', '470']
['157', '83', '354', '166', '297', '395', '478', '225', '100', '301']
['193', '66', '211', '339', '392', '293', '168', '304', '381', '405']
['141', '200', '192', '358', '126', '235', '397', '188', '282', '325']
['239', '34', '89', '366', '99', '305', '372', '271', '384', '96']
['178', '331', '252', '281', '415', '406', '387', '431', '464', '288']
['2', '108', '475', '411', '336', '77', '249', '452', '439', '462']
['109', '310', '480', '21', '131', '276', '482', '196', '487', '20']
['90', '70', '254', '390', '56', '214', '269', '104', '497', '124']
['213', '300', '40', '382', '135', '424', '277', '24', '1', '47']
['177', '313', '312', '458', '145', '14', '85', '428', '323', '26']
['346', '219', '236', '130', '448', '338', '114', '197', '498', '435']
['284', '492', '101', '155', '43', '243', '160', '164', '287', '163']
['466', '265', '263', '215', '105', '401', '361', '483', '184', '224']
['118', '6', '76', '87', '262', '364', '268', '158', '289', '418']
['290', '380', '385', '468', '133', '120', '88', '365', '379', '477']
['375', '347', '299', '383', '134', '474', '471', '446', '67', '267']
['450', '150', '142', '191', '417', '86', '367', '455', '467', '182']
['144', '179', '39', '376', '319', '320', '112', '122', '248', '28']
['125', '0', '222', '430', '143', '217', '344', '140', '65', '342']
['278', '203', '316', '461', '394', '95', '116', '334', '68', '259']
['314', '433', '148', '62', '270', '335', '476', '198', '226', '486']
['102', '147', '488', '16', '350', '94', '36', '272', '48', '274']
['370', '221', '343', '187', '490', '153', '10', '359', '324', '445']
['399', '132', '71', '174', '19', '149', '368', '194', '223', '81']
['451', '138', '457', '311', '253', '107', '258', '294', '245', '242']
['54', '337', '183', '398', '208', '162', '275', '400', '15', '103']
