['178', '285', '487', '367', '21', '307', '22', '783', '578', '288']
['676', '365', '330', '662', '591', '213', '666', '61', '495', '553']
['139', '544', '632', '384', '28', '248', '692', '38', '645', '414']
['569', '167', '194', '601', '191', '583', '675', '1', '243', '111']
['533', '639', '507', '87', '374', '658', '51', '96', '564', '219']
['482', '305', '192', '214', '411', '83', '449', '749', '513', '391']
['780', '440', '418', '362', '193', '631', '604', '128', '205', '329']
['60', '742', '406', '308', '189', '537', '18', '45', '220', '274']
['98', '689', '55', '511', '311', '664', '446', '622', '757', '339']
['657', '474', '377', '733', '283', '165', '456', '282', '202', '379']
['279', '149', '154', '245', '387', '747', '389', '186', '552', '593']
['150', '198', '582', '467', '563', '269', '486', '573', '580', '523']
['100', '547', '565', '265', '471', '682', '203', '745', '470', '489']
['257', '663', '103', '794', '101', '706', '520', '660', '678', '75']
['188', '403', '351', '109', '638', '211', '85', '364', '137', '409']
['199', '697', '153', '116', '502', '239', '388', '42', '599', '425']
['515', '451', '10', '493', '468', '576', '237', '2', '347', '508']
['210', '350', '777', '640', '412', '292', '142', '57', '275', '77']
['312', '37', '133', '712', '518', '249', '761', '531', '738', '430']
['8', '500', '488', '295', '320', '503', '654', '695', '259', '752']
['270', '346', '95', '703', '162', '718', '623', '376', '260', '612']
['327', '534', '3', '683', '404', '791', '34', '568', '528', '441']
['659', '333', '464', '131', '607', '413', '463', '775', '163', '355']
['793', '700', '434', '299', '771', '616', '731', '688', '222', '649']
['290', '724', '29', '670', '560', '769', '326', '546', '176', '485']
['44', '566', '636', '763', '102', '506', '382', '764', '140', '466']
['124', '72', '651', '758', '135', '343', '704', '549', '526', '648']
['798', '540', '46', '368', '226', '505', '799', '400', '730', '204']
['217', '460', '795', '12', '218', '453', '740', '768', '177', '550']
['306', '668', '614', '319', '233', '685', '559', '253', '765', '720']
['677', '699', '674', '748', '241', '778', '54', '630', '393', '767']
['719', '19', '392', '352', '289', '707', '641', '617', '231', '554']
['408', '63', '294', '164', '110', '337', '541', '300', '577', '693']
['175', '743', '710', '481', '611', '522', '268', '431', '551', '644']
['302', '120', '635', '221', '354', '170', '543', '104', '521', '157']
['227', '91', '238', '155', '68', '646', '93', '328', '686', '420']
['345', '723', '301', '787', '89', '575', '314', '30', '13', '81']
['665', '512', '680', '702', '776', '23', '281', '621', '262', '597']
['444', '650', '785', '247', '361', '296', '538', '58', '786', '698']
['316', '185', '579', '183', '381', '370', '317', '473', '504', '297']
['562', '52', '179', '287', '206', '255', '452', '744', '595', '405']
['421', '455', '86', '725', '416', '321', '71', '242', '501', '43']
['236', '201', '627', '190', '465', '746', '47', '536', '484', '7']
['587', '14', '475', '112', '555', '17', '727', '197', '592', '246']
['509', '572', '234', '366', '76', '424', '123', '721', '31', '24']
['168', '371', '401', '437', '122', '422', '280', '338', '602', '510']
['713', '717', '0', '66', '722', '438', '652', '92', '348', '225']
['59', '751', '136', '207', '618', '230', '172', '266', '323', '625']
['356', '784', '458', '667', '673', '349', '396', '605', '36', '530']
['360', '428', '79', '26', '782', '417', '318', '15', '426', '567']
['770', '6', '588', '581', '161', '681', '16', '705', '331', '402']
['647', '397', '39', '378', '40', '273', '492', '208', '335', '734']
['626', '232', '107', '586', '469', '383', '759', '196', '516', '174']
['519', '277', '156', '69', '173', '496', '497', '229', '254', '49']
['671', '395', '472', '613', '478', '571', '732', '739', '445', '315']
['619', '271', '324', '303', '336', '286', '398', '372', '766', '73']
['284', '375', '169', '358', '407', '64', '684', '715', '457', '433']
['439', '629', '143', '726', '373', '585', '5', '171', '561', '461']
['332', '499', '483', '258', '386', '195', '608', '427', '524', '251']
['399', '80', '736', '735', '789', '480', '532', '669', '141', '610']
['129', '600', '527', '313', '215', '498', '278', '353', '82', '88']
['596', '642', '65', '224', '380', '410', '212', '711', '709', '479']
['151', '223', '94', '250', '779', '429', '84', '11', '491', '690']
['542', '158', '459', '138', '228', '687', '50', '517', '106', '70']
['637', '598', '147', '180', '322', '67', '529', '436', '490', '696']
['454', '200', '691', '656', '62', '252', '20', '369', '145', '655']
['385', '606', '750', '796', '415', '240', '615', '737', '729', '27']
['309', '32', '121', '342', '108', '261', '272', '363', '624', '166']
['694', '477', '432', '148', '643', '126', '574', '781', '701', '762']
['589', '443', '728', '545', '634', '423', '325', '48', '56', '99']
['394', '132', '340', '774', '53', '113', '276', '267', '310', '127']
['184', '359', '442', '557', '594', '792', '90', '772', '209', '548']
['160', '435', '603', '653', '244', '182', '419', '293', '558', '341']
['41', '74', '118', '679', '159', '450', '525', '708', '716', '755']
['125', '753', '114', '97', '187', '4', '33', '235', '304', '263']
['620', '115', '584', '78', '633', '773', '556', '797', '146', '539']
['741', '130', '570', '448', '756', '134', '181', '117', '9', '105']
['35', '298', '714', '754', '144', '264', '447', '628', '291', '476']
['514', '119', '661', '590', '152', '462', '256', '357', '788', '390']
['790', '760', '25', '672', '344', '535', '609', '216', '494', '334']
