['515', '505', '62', '34', '467', '347', '164', '524', '69', '610']
['589', '460', '76', '585', '32', '233', '599', '200', '630', '212']
['218', '500', '289', '396', '611', '420', '361', '734', '211', '736']
['410', '622', '116', '540', '699', '602', '290', '132', '346', '789']
['465', '581', '767', '83', '730', '726', '760', '95', '563', '503']
['172', '384', '417', '692', '153', '345', '258', '107', '214', '26']
['316', '395', '157', '629', '365', '276', '491', '557', '494', '154']
['657', '226', '658', '419', '509', '773', '448', '437', '350', '514']
['664', '558', '564', '490', '349', '729', '408', '798', '768', '98']
['163', '679', '113', '282', '751', '678', '42', '750', '12', '797']
['222', '414', '16', '517', '322', '242', '93', '639', '436', '59']
['369', '401', '295', '793', '207', '333', '284', '778', '476', '170']
['539', '554', '159', '0', '456', '445', '171', '722', '733', '532']
['191', '279', '104', '267', '360', '765', '466', '139', '283', '615']
['674', '331', '386', '281', '495', '755', '334', '112', '86', '555']
['383', '21', '198', '202', '220', '521', '46', '375', '183', '329']
['547', '39', '192', '757', '464', '327', '783', '398', '762', '429']
['131', '662', '614', '483', '1', '786', '523', '475', '627', '782']
['710', '305', '243', '173', '628', '306', '114', '777', '444', '151']
['392', '338', '526', '120', '45', '704', '795', '91', '203', '477']
['61', '400', '299', '15', '480', '453', '136', '496', '525', '449']
['603', '33', '254', '672', '167', '520', '285', '297', '538', '583']
['690', '275', '542', '708', '731', '727', '3', '232', '711', '37']
['184', '175', '641', '550', '743', '356', '741', '84', '142', '391']
['533', '691', '303', '18', '58', '529', '570', '472', '715', '166']
['382', '790', '81', '504', '99', '787', '224', '759', '335', '687']
['196', '240', '471', '339', '430', '461', '528', '75', '318', '578']
['647', '646', '89', '579', '265', '94', '372', '343', '324', '127']
['204', '332', '244', '195', '440', '108', '530', '747', '294', '426']
['434', '531', '221', '645', '686', '155', '358', '631', '272', '781']
['468', '102', '682', '719', '543', '194', '553', '447', '544', '502']
['390', '671', '421', '587', '235', '501', '74', '696', '605', '796']
['156', '27', '618', '79', '723', '721', '73', '493', '63', '788']
['606', '387', '552', '135', '559', '215', '489', '374', '315', '572']
['651', '432', '31', '24', '286', '309', '571', '10', '590', '320']
['596', '251', '88', '575', '433', '236', '766', '317', '344', '341']
['470', '753', '675', '130', '534', '735', '176', '245', '77', '373']
['20', '182', '54', '109', '455', '353', '296', '486', '655', '325']
['351', '271', '588', '510', '219', '591', '474', '701', '161', '562']
['761', '685', '82', '48', '4', '740', '653', '720', '287', '409']
['40', '742', '492', '44', '661', '312', '439', '600', '442', '613']
['100', '770', '665', '458', '607', '545', '121', '717', '22', '499']
['370', '462', '213', '612', '670', '415', '247', '780', '239', '310']
['2', '7', '566', '551', '241', '259', '683', '482', '739', '580']
['90', '617', '169', '407', '380', '168', '446', '178', '291', '652']
['134', '188', '548', '111', '431', '703', '292', '473', '497', '210']
['425', '776', '506', '250', '659', '217', '190', '404', '620', '158']
['485', '608', '260', '601', '278', '35', '379', '441', '700', '53']
['225', '604', '405', '454', '625', '216', '388', '160', '229', '238']
['702', '654', '106', '706', '649', '60', '14', '311', '712', '357']
['772', '522', '298', '684', '669', '624', '764', '399', '49', '323']
['340', '162', '536', '402', '300', '65', '187', '381', '452', '479']
['403', '541', '97', '549', '115', '5', '385', '619', '268', '577']
['584', '481', '174', '411', '576', '574', '288', '144', '680', '274']
['677', '758', '769', '52', '352', '511', '593', '412', '253', '47']
['368', '301', '71', '248', '68', '143', '146', '87', '694', '376']
['231', '779', '697', '56', '223', '775', '422', '366', '277', '264']
['304', '598', '737', '321', '714', '397', '738', '186', '354', '117']
['28', '695', '363', '724', '377', '535', '650', '66', '519', '774']
['573', '145', '269', '150', '234', '459', '457', '348', '406', '41']
['728', '463', '487', '648', '799', '38', '149', '792', '713', '336']
['367', '371', '362', '637', '745', '118', '394', '633', '50', '92']
['122', '208', '36', '355', '508', '756', '359', '592', '165', '667']
['96', '663', '85', '594', '518', '709', '498', '632', '11', '516']
['484', '249', '148', '262', '237', '364', '9', '119', '748', '180']
['19', '209', '197', '693', '25', '488', '478', '326', '418', '293']
['689', '137', '732', '673', '110', '23', '424', '185', '227', '640']
['668', '609', '337', '643', '255', '314', '67', '17', '6', '681']
['595', '189', '556', '228', '307', '451', '636', '140', '263', '784']
['246', '152', '744', '328', '546', '72', '642', '141', '621', '791']
['586', '794', '125', '634', '103', '389', '676', '29', '252', '319']
['656', '688', '705', '13', '423', '716', '597', '644', '128', '30']
['660', '698', '101', '257', '129', '181', '568', '201', '43', '193']
['313', '507', '443', '623', '527', '393', '78', '567', '771', '763']
['725', '428', '199', '752', '57', '537', '124', '80', '378', '179']
['435', '638', '666', '8', '105', '561', '635', '266', '707', '280']
['427', '302', '70', '512', '133', '469', '308', '270', '413', '55']
['51', '126', '342', '754', '205', '138', '450', '416', '256', '438']
['785', '749', '616', '560', '147', '513', '64', '230', '565', '582']
['273', '177', '746', '569', '206', '330', '261', '123', '626', '718']
