['467', '321', '270', '448', '76', '137', '362', '468', '433', '92']
['405', '295', '36', '484', '252', '431', '221', '411', '350', '190']
['415', '402', '131', '361', '496', '268', '46', '258', '452', '165']
['463', '471', '267', '287', '212', '454', '39', '164', '263', '125']
['162', '253', '272', '285', '35', '149', '332', '348', '325', '375']
['377', '478', '4', '163', '356', '157', '358', '54', '100', '465']
['374', '381', '87', '93', '255', '474', '310', '480', '289', '120']
['121', '459', '354', '271', '466', '351', '440', '88', '249', '73']
['7', '256', '130', '269', '203', '394', '114', '31', '446', '416']
['426', '460', '303', '146', '191', '17', '306', '168', '204', '438']
['235', '275', '116', '472', '210', '491', '160', '201', '250', '481']
['307', '42', '360', '151', '443', '187', '104', '382', '282', '279']
['86', '257', '328', '211', '144', '3', '364', '391', '198', '336']
['122', '485', '75', '230', '209', '429', '234', '231', '181', '425']
['228', '105', '159', '347', '175', '486', '33', '455', '27', '84']
['233', '265', '241', '392', '97', '72', '244', '95', '475', '378']
['398', '309', '21', '457', '319', '28', '77', '89', '192', '400']
['197', '43', '182', '128', '188', '363', '450', '40', '371', '273']
['1', '439', '293', '395', '262', '444', '11', '174', '70', '254']
['280', '292', '333', '79', '135', '385', '64', '494', '404', '493']
['387', '172', '396', '65', '353', '499', '177', '302', '281', '401']
['51', '488', '314', '232', '196', '337', '240', '297', '0', '224']
['330', '312', '22', '497', '10', '110', '85', '473', '278', '304']
['96', '247', '248', '462', '469', '140', '63', '388', '81', '126']
['9', '53', '422', '202', '227', '66', '299', '327', '434', '414']
['80', '215', '345', '492', '55', '19', '456', '413', '112', '451']
['223', '106', '67', '129', '41', '277', '16', '69', '421', '218']
['153', '428', '322', '284', '45', '60', '458', '145', '173', '226']
['423', '56', '323', '222', '213', '138', '239', '58', '346', '237']
['119', '49', '366', '183', '338', '62', '189', '107', '103', '179']
['24', '200', '334', '44', '111', '318', '82', '68', '274', '315']
['134', '23', '115', '214', '342', '317', '290', '260', '389', '123']
['30', '14', '98', '169', '286', '61', '251', '339', '482', '326']
['261', '102', '461', '186', '412', '264', '266', '150', '442', '139']
['349', '167', '441', '340', '15', '436', '59', '379', '71', '136']
['178', '447', '208', '18', '406', '308', '320', '380', '352', '432']
['193', '367', '180', '476', '383', '418', '29', '156', '311', '243']
['184', '369', '225', '2', '298', '276', '8', '453', '238', '118']
['288', '219', '305', '109', '397', '229', '158', '300', '335', '108']
['113', '132', '365', '420', '294', '99', '101', '5', '316', '38']
['154', '83', '20', '445', '427', '236', '464', '477', '199', '283']
['313', '194', '487', '355', '417', '32', '195', '372', '207', '152']
['386', '50', '437', '6', '52', '220', '409', '291', '373', '324']
['407', '344', '370', '329', '296', '399', '410', '393', '176', '259']
['37', '78', '124', '57', '147', '368', '479', '430', '166', '489']
['217', '12', '483', '490', '91', '242', '301', '127']
['357', '205', '403', '171', '246']
['341', '34', '359', '148', '185', '408', '143', '390', '449', '26']
['142', '74', '94', '245', '498', '117', '495', '216', '384', '48']
['424', '331', '435', '170', '141', '47', '419']
['343', '25', '155', '13', '376', '470', '161', '90', '133', '206']
