['184', '705', '134', '764', '136', '73', '33', '782', '212', '522', '649', '101', '834', '378', '439', '120', '528', '602', '335', '139', '158', '370', '301', '946', '343', '263', '18', '806', '598', '259', '642', '250', '601', '490', '1', '833', '866', '233', '51', '864', '376', '385', '380', '647', '996', '166', '10', '2', '897', '935']
['814', '278', '316', '800', '962', '444', '289', '781', '296', '504', '80', '472', '487', '799', '893', '754', '285', '838', '926', '36', '196', '422', '810', '312', '967', '616', '304', '982', '997', '60', '857', '414', '393', '824', '112', '755', '427', '163', '441', '579', '107', '573', '3', '173', '552', '767', '918', '208', '762', '619']
['652', '511', '915', '847', '240', '584', '677', '501', '980', '170', '983', '475', '736', '90', '521', '720', '769', '152', '518', '797', '23', '774', '260', '425', '540', '840', '526', '666', '987', '315', '257', '940', '447', '364', '818', '305', '928', '576', '294', '650', '344', '557', '137', '708', '675', '747', '213', '772', '559', '68']
['513', '780', '978', '910', '890', '721', '867', '567', '622', '725', '237', '104', '763', '157', '244', '664', '45', '226', '758', '823', '53', '14', '127', '480', '636', '479', '234', '923', '74', '985', '936', '426', '741', '740', '841', '350', '8', '485', '25', '770', '325', '499', '243', '149', '457', '492', '894', '712', '86', '972']
['268', '375', '295', '802', '264', '961', '202', '727', '42', '443', '313', '889', '745', '109', '765', '432', '699', '955', '144', '868', '174', '900', '420', '734', '302', '442', '794', '560', '808', '855', '635', '368', '880', '564', '742', '715', '37', '505', '869', '969', '917', '683', '509', '621', '587', '924', '29', '992', '452', '334']
['843', '156', '300', '569', '593', '454', '351', '655', '686', '494', '463', '959', '124', '366', '520', '877', '484', '153', '682', '951', '816', '759', '249', '761', '933', '363', '446', '180', '146', '979', '255', '251', '44', '297', '62', '319', '367', '467', '98', '5', '524', '603', '189', '332', '63', '9', '462', '718', '617', '417']
['248', '657', '309', '69', '232', '354', '423', '437', '881', '438', '738', '46', '398', '377', '71', '993', '133', '828', '716', '859', '471', '676', '203', '59', '125', '54', '966', '323', '119', '604', '483', '739', '608', '371', '607', '235', '388', '267', '623', '421', '534', '545', '482', '199', '950', '529', '181', '238', '219', '831']
['714', '821', '341', '176', '207', '168', '252', '373', '768', '503', '330', '476', '717', '898', '771', '94', '165', '221', '6', '298', '813', '383', '640', '832', '113', '292', '409', '138', '142', '78', '653', '16', '17', '704', '261', '954', '578', '135', '572', '595', '81', '352', '856', '921', '496', '792', '466', '925', '848', '384']
['516', '999', '236', '129', '775', '970', '610', '724', '853', '215', '387', '750', '100', '865', '26', '678', '489', '620', '220', '386', '746', '914', '291', '757', '668', '122', '231', '908', '34', '12', '820', '648', '651', '82', '803', '110', '922', '562', '991', '956', '188', '75', '493', '606', '930', '628', '201', '538', '796', '274']
['862', '570', '964', '887', '994', '589', '842', '436', '582', '884', '971', '4', '218', '419', '766', '566', '728', '70', '258', '596', '132', '735', '336', '672', '870', '381', '817', '283', '547', '185', '789', '974', '340', '535', '536', '13', '543', '281', '845', '850', '130', '287', '61', '786', '416', '164', '605', '733', '148', '187']
['783', '111', '514', '960', '95', '671', '729', '687', '91', '784', '973', '390', '618', '892', '883', '361', '279', '837', '242', '822', '791', '171', '79', '795', '711', '537', '905', '945', '965', '210', '844', '30', '222', '580', '56', '744', '474', '47', '230', '339', '637', '590', '162', '191', '150', '214', '811', '549', '182', '878']
['284', '498', '591', '743', '456', '178', '126', '920', '108', '49', '825', '707', '512', '478', '963', '347', '228', '663', '553', '643', '542', '216', '455', '266', '424', '307', '172', '358', '957', '939', '525', '145', '102', '355', '701', '58', '886', '633', '630', '546', '531', '277', '594', '65', '286', '804', '317', '801', '670', '167']
['943', '229', '638', '35', '448', '611', '756', '719', '161', '412', '227', '342', '688', '875', '703', '175', '748', '362', '276', '308', '681', '245', '835', '328', '128', '103', '131', '694', '470', '713', '360', '326', '32', '265', '205', '429', '408', '39', '907', '749', '204', '976', '256', '435', '812', '392', '599', '674', '197', '198']
['565', '777', '989', '224', '464', '404', '641', '270', '696', '465', '819', '891', '155', '225', '473', '43', '958', '871', '644', '873', '788', '654', '374', '942', '177', '349', '779', '807', '588', '693', '15', '84', '583', '927', '508', '697', '658', '115', '88', '656', '631', '413', '327', '903', '515', '141', '551', '190', '395', '24']
['410', '510', '241', '282', '418', '949', '401', '680', '254', '665', '500', '338', '365', '902', '461', '787', '440', '389', '858', '293', '882', '896', '55', '497', '38', '614', '477', '396', '269', '40', '790', '239', '885', '953', '200', '306', '434', '519', '0', '698', '272', '532', '609', '913', '691', '815', '695', '909', '874', '246']
['402', '449', '183', '19', '968', '450', '400', '491', '586', '329', '523', '121', '984', '732', '262', '673', '753', '863', '106', '555', '585', '21', '322', '952', '977', '849', '333', '195', '160', '986', '52', '548', '988', '83', '507', '689', '998', '399', '310', '577', '615', '667', '827', '539', '852', '947', '193', '624', '934', '916']
['752', '760', '273', '876', '895', '303', '415', '318', '645', '486', '288', '64', '600', '944', '685', '460', '179', '563', '433', '919', '406', '428', '846', '359', '192', '527', '990', '899', '28', '391', '407', '751', '568', '904', '114', '320', '481', '778', '48', '151', '561', '659', '702', '854', '194', '397', '11', '50', '7', '632']
