['1', '2', '6', '7', '9']
['3', '4', '5', '8', '10']
['11', '12', '16', '17', '19']
['13', '14', '15', '18', '20']
['21', '22', '26', '27', '29']
['23', '24', '25', '28', '30']
['31', '32', '36', '37', '39']
['33', '34', '35', '38', '40']
['41', '42', '46', '47', '49']
['43', '44', '45', '48', '50']
['51', '52', '56', '57', '59']
['53', '54', '55', '58', '60']
['61', '62', '66', '67', '69']
['63', '64', '65', '68', '70']
['71', '72', '76', '77', '79']
['73', '74', '75', '78', '80']
['81', '82', '86', '87', '89']
['83', '84', '85', '88', '90']
['91', '92', '96', '97', '99']
['93', '94', '95', '98', '100']
['101', '102', '106', '107', '109']
['103', '104', '105', '108', '110']
['111', '112', '116', '117', '119']
['113', '114', '115', '118', '120']
['121', '122', '126', '127', '129']
['123', '124', '125', '128', '130']
['131', '132', '136', '137', '139']
['133', '134', '135', '138', '140']
['141', '142', '146', '147', '149']
['143', '144', '145', '148', '150']
['151', '152', '156', '157', '159']
['153', '154', '155', '158', '160']
['161', '162', '166', '167', '169']
['163', '164', '165', '168', '170']
['171', '172', '176', '177', '179']
['173', '174', '175', '178', '180']
['181', '182', '186', '187', '189']
['183', '184', '185', '188', '190']
['191', '192', '196', '197', '199']
['193', '194', '195', '198', '200']
['201', '202', '206', '207', '209']
['203', '204', '205', '208', '210']
['211', '212', '216', '217', '219']
['213', '214', '215', '218', '220']
['221', '222', '226', '227', '229']
['223', '224', '225', '228', '230']
['231', '232', '236', '237', '239']
['233', '234', '235', '238', '240']
['241', '242', '246', '248', '249']
['243', '244', '245', '247', '250']
