['220', '205', '69', '338', '191', '6', '312', '137', '348', '347', '2', '206', '121', '18', '131', '125', '196', '190', '31', '269']
['249', '202', '201', '263', '229', '320', '184', '298', '138', '371', '394', '37', '132', '387', '148', '328', '250', '175', '252', '39']
['180', '7', '24', '0', '99', '345', '64', '40', '228', '102', '168', '267', '218', '104', '117', '357', '127', '211', '307', '68']
['351', '15', '5', '233', '316', '72', '105', '310', '236', '85', '272', '171', '265', '172', '141', '192', '25', '372', '377', '308']
['286', '115', '361', '222', '165', '315', '32', '17', '152', '10', '276', '166', '280', '63', '311', '4', '373', '161', '60', '232']
['337', '219', '163', '258', '203', '181', '9', '284', '108', '82', '359', '36', '28', '353', '62', '140', '288', '144', '156', '369']
['217', '366', '76', '204', '139', '295', '120', '124', '12', '21', '61', '80', '327', '388', '324', '150', '91', '65', '223', '66']
['342', '245', '74', '98', '155', '300', '390', '376', '313', '47', '151', '257', '244', '261', '198', '331', '34', '260', '113', '87']
['397', '333', '90', '182', '384', '177', '35', '309', '119', '240', '183', '111', '22', '355', '325', '214', '174', '103', '226', '189']
['160', '321', '270', '43', '216', '292', '386', '170', '235', '83', '227', '362', '392', '383', '96', '354', '14', '239', '329', '306']
['110', '289', '224', '350', '164', '129', '70', '275', '341', '299', '200', '297', '370', '167', '254', '53', '23', '363', '67', '375']
['46', '73', '213', '301', '142', '145', '259', '159', '285', '100', '173', '158', '274', '246', '27', '194', '268', '114', '52', '360']
['38', '396', '393', '147', '356', '208', '291', '57', '109', '49', '365', '199', '278', '296', '237', '212', '326', '42', '112', '86']
['134', '106', '162', '266', '128', '336', '3', '77', '136', '290', '81', '176', '378', '339', '48', '364', '273', '330', '11', '287']
['188', '154', '8', '26', '33', '380', '133', '185', '231', '242', '197', '302', '13', '193', '54', '344', '210', '346', '251', '332']
['367', '343', '122', '209', '234', '84', '264', '29', '293', '352', '318', '94', '334', '178', '44', '107', '123', '143', '294', '118']
['319', '50', '374', '262', '58', '381', '207', '186', '149', '20', '97', '89', '340', '241', '59', '78', '130', '126', '116', '169']
['247', '230', '314', '335', '395', '277', '56', '101', '391', '221', '368', '304', '399', '75', '317', '385', '79', '358', '281', '243']
['305', '271', '253', '45', '256', '19', '225', '238', '279', '92', '93', '135', '323', '389', '41', '398', '157', '248', '146', '379']
['88', '215', '303', '382', '349', '95', '55', '195', '30', '282', '153', '71', '187', '283', '322', '16', '51', '255', '1', '179']
